[2017-03-06 16:36:53]WorkStatu [rcvTime=2017-03-06 16:19:04.633, imei=800000000000024, msgTime=2017-03-06 16:18:47.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:53]WorkStatu [rcvTime=2017-03-06 16:19:04.180, imei=800000000000050, msgTime=2017-03-06 16:18:47.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:53]WorkStatu [rcvTime=2017-03-06 16:19:01.227, imei=800000000000001, msgTime=2017-03-06 16:18:44.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:54]WorkStatu [rcvTime=2017-03-06 16:19:02.336, imei=800000000000026, msgTime=2017-03-06 16:18:45.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:54]WorkStatu [rcvTime=2017-03-06 16:19:16.711, imei=800000000000009, msgTime=2017-03-06 16:18:29.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:54]WorkStatu [rcvTime=2017-03-06 16:18:47.336, imei=800000000000030, msgTime=2017-03-06 16:18:30.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:54]WorkStatu [rcvTime=2017-03-06 16:18:47.086, imei=800000000000032, msgTime=2017-03-06 16:18:30.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:55]WorkStatu [rcvTime=2017-03-06 16:18:56.039, imei=800000000000021, msgTime=2017-03-06 16:18:38.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:55]WorkStatu [rcvTime=2017-03-06 16:18:51.430, imei=800000000000035, msgTime=2017-03-06 16:18:34.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:56]WorkStatu [rcvTime=2017-03-06 16:18:56.914, imei=800000000000039, msgTime=2017-03-06 16:18:39.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:56]WorkStatu [rcvTime=2017-03-06 16:19:04.680, imei=800000000000008, msgTime=2017-03-06 16:18:47.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:56]WorkStatu [rcvTime=2017-03-06 16:19:01.290, imei=800000000000005, msgTime=2017-03-06 16:18:44.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:56]WorkStatu [rcvTime=2017-03-06 16:19:11.555, imei=800000000000032, msgTime=2017-03-06 16:18:54.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:57]WorkStatu [rcvTime=2017-03-06 16:18:42.633, imei=800000000000038, msgTime=2017-03-06 16:18:25.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:57]WorkStatu [rcvTime=2017-03-06 16:19:16.805, imei=800000000000027, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:57]WorkStatu [rcvTime=2017-03-06 16:19:05.165, imei=800000000000022, msgTime=2017-03-06 16:18:48.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:58]WorkStatu [rcvTime=2017-03-06 16:18:49.258, imei=800000000000006, msgTime=2017-03-06 16:18:32.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:59]WorkStatu [rcvTime=2017-03-06 16:19:00.414, imei=800000000000048, msgTime=2017-03-06 16:18:43.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:36:59]WorkStatu [rcvTime=2017-03-06 16:18:49.836, imei=800000000000041, msgTime=2017-03-06 16:18:32.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:01]WorkStatu [rcvTime=2017-03-06 16:19:07.211, imei=800000000000022, msgTime=2017-03-06 16:18:50.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:01]WorkStatu [rcvTime=2017-03-06 16:18:43.961, imei=800000000000029, msgTime=2017-03-06 16:18:26.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:02]WorkStatu [rcvTime=2017-03-06 16:19:08.711, imei=800000000000044, msgTime=2017-03-06 16:18:51.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:02]WorkStatu [rcvTime=2017-03-06 16:19:06.086, imei=800000000000021, msgTime=2017-03-06 16:18:49.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:02]WorkStatu [rcvTime=2017-03-06 16:18:49.711, imei=800000000000018, msgTime=2017-03-06 16:18:32.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:02]WorkStatu [rcvTime=2017-03-06 16:19:09.586, imei=800000000000028, msgTime=2017-03-06 16:18:22.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:03]WorkStatu [rcvTime=2017-03-06 16:19:10.446, imei=800000000000049, msgTime=2017-03-06 16:18:53.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:03]WorkStatu [rcvTime=2017-03-06 16:18:22.258, imei=800000000000043, msgTime=2017-03-06 16:18:05.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:03]WorkStatu [rcvTime=2017-03-06 16:19:11.836, imei=800000000000034, msgTime=2017-03-06 16:18:54.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:04]WorkStatu [rcvTime=2017-03-06 16:19:33.008, imei=800000000000013, msgTime=2017-03-06 16:18:45.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:04]WorkStatu [rcvTime=2017-03-06 16:18:52.430, imei=800000000000007, msgTime=2017-03-06 16:18:35.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:05]WorkStatu [rcvTime=2017-03-06 16:19:07.383, imei=800000000000006, msgTime=2017-03-06 16:18:50.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:05]WorkStatu [rcvTime=2017-03-06 16:19:14.540, imei=800000000000048, msgTime=2017-03-06 16:18:57.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:05]WorkStatu [rcvTime=2017-03-06 16:19:14.290, imei=800000000000029, msgTime=2017-03-06 16:18:27.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:05]WorkStatu [rcvTime=2017-03-06 16:18:47.164, imei=800000000000040, msgTime=2017-03-06 16:18:30.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:05]WorkStatu [rcvTime=2017-03-06 16:19:13.618, imei=800000000000023, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:05]WorkStatu [rcvTime=2017-03-06 16:19:16.383, imei=800000000000036, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:06]WorkStatu [rcvTime=2017-03-06 16:18:47.336, imei=800000000000031, msgTime=2017-03-06 16:18:30.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:06]WorkStatu [rcvTime=2017-03-06 16:19:14.774, imei=800000000000043, msgTime=2017-03-06 16:18:57.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:06]WorkStatu [rcvTime=2017-03-06 16:19:13.649, imei=800000000000028, msgTime=2017-03-06 16:18:26.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:06]WorkStatu [rcvTime=2017-03-06 16:18:59.993, imei=800000000000015, msgTime=2017-03-06 16:18:42.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:07]WorkStatu [rcvTime=2017-03-06 16:19:16.711, imei=800000000000009, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:07]WorkStatu [rcvTime=2017-03-06 16:19:12.461, imei=800000000000049, msgTime=2017-03-06 16:18:55.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:07]WorkStatu [rcvTime=2017-03-06 16:18:59.493, imei=800000000000031, msgTime=2017-03-06 16:18:42.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:09]WorkStatu [rcvTime=2017-03-06 16:18:59.914, imei=800000000000041, msgTime=2017-03-06 16:18:42.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:10]WorkStatu [rcvTime=2017-03-06 16:19:01.477, imei=800000000000028, msgTime=2017-03-06 16:18:44.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:10]WorkStatu [rcvTime=2017-03-06 16:19:12.024, imei=800000000000025, msgTime=2017-03-06 16:18:54.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:11]WorkStatu [rcvTime=2017-03-06 16:19:12.758, imei=800000000000008, msgTime=2017-03-06 16:18:55.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:11]WorkStatu [rcvTime=2017-03-06 16:19:13.836, imei=800000000000035, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:12]WorkStatu [rcvTime=2017-03-06 16:19:17.758, imei=800000000000020, msgTime=2017-03-06 16:18:30.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:06.461, imei=800000000000046, msgTime=2017-03-06 16:18:49.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:16.993, imei=800000000000047, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:13]WorkStatu [rcvTime=2017-03-06 16:19:03.961, imei=800000000000041, msgTime=2017-03-06 16:18:46.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:13.852, imei=800000000000030, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:06.352, imei=800000000000016, msgTime=2017-03-06 16:18:49.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:14]WorkStatu [rcvTime=2017-03-06 16:19:09.508, imei=800000000000017, msgTime=2017-03-06 16:18:52.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:13.368, imei=800000000000005, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:18.805, imei=800000000000027, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:15]WorkStatu [rcvTime=2017-03-06 16:19:25.040, imei=800000000000038, msgTime=2017-03-06 16:18:37.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:20.149, imei=800000000000004, msgTime=2017-03-06 16:19:03.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:26.008, imei=800000000000035, msgTime=2017-03-06 16:19:08.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:16]WorkStatu [rcvTime=2017-03-06 16:19:10.680, imei=800000000000007, msgTime=2017-03-06 16:18:53.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:10.680, imei=800000000000014, msgTime=2017-03-06 16:18:53.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:23.711, imei=800000000000037, msgTime=2017-03-06 16:18:36.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:32.118, imei=800000000000045, msgTime=2017-03-06 16:19:15.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:19.008, imei=800000000000038, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:18.571, imei=800000000000046, msgTime=2017-03-06 16:19:01.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:17]WorkStatu [rcvTime=2017-03-06 16:19:34.993, imei=800000000000010, msgTime=2017-03-06 16:18:47.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:18]WorkStatu [rcvTime=2017-03-06 16:19:53.086, imei=800000000000014, msgTime=2017-03-06 16:19:36.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:18]WorkStatu [rcvTime=2017-03-06 16:19:08.102, imei=800000000000021, msgTime=2017-03-06 16:18:51.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:19]WorkStatu [rcvTime=2017-03-06 16:19:52.571, imei=800000000000015, msgTime=2017-03-06 16:19:35.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:19]WorkStatu [rcvTime=2017-03-06 16:19:56.024, imei=800000000000040, msgTime=2017-03-06 16:19:08.988, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:21]WorkStatu [rcvTime=2017-03-06 16:19:12.024, imei=800000000000041, msgTime=2017-03-06 16:18:54.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:24.618, imei=800000000000048, msgTime=2017-03-06 16:19:07.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:15.040, imei=800000000000039, msgTime=2017-03-06 16:18:57.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:22]WorkStatu [rcvTime=2017-03-06 16:19:13.649, imei=800000000000028, msgTime=2017-03-06 16:18:56.990, pgnId=14, listItem={74=1}]
[2017-03-06 16:37:24]WorkStatu [rcvTime=2017-03-06 16:19:16.258, imei=800000000000050, msgTime=2017-03-06 16:18:59.990, pgnId=14, listItem={74=1}]
