[2017-03-06 16:36:51]WorkStatu [rcvTime=2017-03-06 16:18:53.946, imei=800000000000033, msgTime=2017-03-06 16:18:25.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:51]WorkStatu [rcvTime=2017-03-06 16:18:54.399, imei=800000000000046, msgTime=2017-03-06 16:18:26.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:55]WorkStatu [rcvTime=2017-03-06 16:19:03.383, imei=800000000000011, msgTime=2017-03-06 16:18:35.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:55]WorkStatu [rcvTime=2017-03-06 16:18:50.743, imei=800000000000038, msgTime=2017-03-06 16:18:22.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:55]WorkStatu [rcvTime=2017-03-06 16:19:04.899, imei=800000000000047, msgTime=2017-03-06 16:18:36.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:56]WorkStatu [rcvTime=2017-03-06 16:18:52.430, imei=800000000000007, msgTime=2017-03-06 16:18:24.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:56]WorkStatu [rcvTime=2017-03-06 16:18:43.961, imei=800000000000029, msgTime=2017-03-06 16:18:15.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:57]WorkStatu [rcvTime=2017-03-06 16:19:04.680, imei=800000000000008, msgTime=2017-03-06 16:18:06.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:57]WorkStatu [rcvTime=2017-03-06 16:18:50.555, imei=800000000000010, msgTime=2017-03-06 16:18:22.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:58]WorkStatu [rcvTime=2017-03-06 16:19:00.414, imei=800000000000048, msgTime=2017-03-06 16:18:32.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:58]WorkStatu [rcvTime=2017-03-06 16:19:06.086, imei=800000000000021, msgTime=2017-03-06 16:18:38.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:58]WorkStatu [rcvTime=2017-03-06 16:19:03.680, imei=800000000000030, msgTime=2017-03-06 16:18:35.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:58]WorkStatu [rcvTime=2017-03-06 16:19:07.727, imei=800000000000034, msgTime=2017-03-06 16:18:39.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:58]WorkStatu [rcvTime=2017-03-06 16:18:59.493, imei=800000000000031, msgTime=2017-03-06 16:18:31.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:58]WorkStatu [rcvTime=2017-03-06 16:18:54.602, imei=800000000000044, msgTime=2017-03-06 16:18:26.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:59]WorkStatu [rcvTime=2017-03-06 16:19:03.961, imei=800000000000041, msgTime=2017-03-06 16:18:35.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:59]WorkStatu [rcvTime=2017-03-06 16:19:13.649, imei=800000000000028, msgTime=2017-03-06 16:18:45.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:36:59]WorkStatu [rcvTime=2017-03-06 16:19:05.165, imei=800000000000022, msgTime=2017-03-06 16:18:37.246, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:01]WorkStatu [rcvTime=2017-03-06 16:19:30.696, imei=800000000000046, msgTime=2017-03-06 16:18:32.223, pgnId=13, listItem={72=1, 73=0}]
[2017-03-06 16:37:01]WorkStatu [rcvTime=2017-03-06 16:19:12.461, imei=800000000000049, msgTime=2017-03-06 16:18:44.246, pgnId=13, listItem={72=1, 73=0}]
